trip_id,start_time,end_time,duration_sec,bike_id,start_station_id,end_station_id,user_id,time_id
1,2020-01-01 00:32:10.100,2020-01-02 00:01:56.000,84585.9,4902,21,13,1,2020010100
2,2020-01-01 00:53:21.800,2020-01-02 00:42:03.100,85721.3,2535,23,81,2,2020010100
3,2020-01-01 00:13:13.200,2020-01-01 00:24:08.100,654.9,5905,86,3,3,2020010100
4,2020-01-01 00:54:26.000,2020-01-02 00:02:36.800,83290.8,6638,375,70,4,2020010100
5,2020-01-01 00:54:18.500,2020-01-02 00:20:44.100,84385.6,4898,7,222,5,2020010100
6,2020-01-01 00:49:58.600,2020-01-02 00:19:51.800,84593.2,5200,93,323,6,2020010100
7,2020-01-01 00:55:35.100,2020-01-02 00:14:42.600,83947.5,3803,300,312,7,2020010100
8,2020-01-01 00:41:06.800,2020-01-02 00:08:02.800,84416.0,6329,10,127,8,2020010100
9,2020-01-01 00:41:48.800,2020-01-02 00:07:59.700,84370.9,6548,10,127,9,2020010100
10,2020-01-01 00:49:47.700,2020-01-02 00:07:17.000,83849.3,6488,19,121,10,2020010100
11,2020-01-01 00:57:57.200,2020-01-02 00:05:35.400,83258.2,5318,370,43,11,2020010100
12,2020-01-01 00:56:55.500,2020-01-02 00:05:21.700,83306.2,5848,44,343,12,2020010100
13,2020-01-01 00:45:12.700,2020-01-02 00:04:49.200,83976.5,5328,127,323,13,2020010100
14,2020-01-01 00:49:06.100,2020-01-02 00:04:21.900,83715.8,5101,252,244,14,2020010100
15,2020-01-01 00:56:26.800,2020-01-02 00:03:01.900,83195.1,4786,243,252,15,2020010100
16,2020-01-01 00:59:18.500,2020-01-02 00:02:47.200,83008.7,6361,349,60,12,2020010100
17,2020-01-01 00:50:41.600,2020-01-01 00:59:50.000,548.4,6572,131,71,16,2020010100
18,2020-01-01 00:48:25.100,2020-01-01 00:59:40.100,675.0,5343,74,336,17,2020010100
19,2020-01-01 00:49:01.900,2020-01-01 00:58:19.800,557.9,5854,321,75,18,2020010100
20,2020-01-01 00:43:05.200,2020-01-01 00:57:39.800,874.6,5629,180,180,19,2020010100
21,2020-01-01 00:50:38.200,2020-01-01 00:57:35.900,417.7,4999,72,107,20,2020010100
22,2020-01-01 00:50:26.900,2020-01-01 00:57:21.100,414.2,6007,163,221,21,2020010100
23,2020-01-01 00:44:56.400,2020-01-01 00:57:20.200,743.8,5479,370,52,22,2020010100
24,2020-01-01 00:51:06.000,2020-01-01 00:57:13.300,367.3,1804,243,269,23,2020010100
25,2020-01-01 00:52:51.200,2020-01-01 00:57:04.000,252.8,5678,190,189,17,2020010100
26,2020-01-01 00:50:31.400,2020-01-01 00:56:31.900,360.5,6240,163,196,24,2020010100
27,2020-01-01 00:49:24.400,2020-01-01 00:55:50.300,385.9,6531,6,15,25,2020010100
28,2020-01-01 00:48:08.300,2020-01-01 00:54:56.900,408.6,5410,78,78,26,2020010100
29,2020-01-01 00:43:27.500,2020-01-01 00:54:18.500,651.0,4784,258,263,2,2020010100
30,2020-01-01 00:43:48.700,2020-01-01 00:54:18.300,629.6,363,258,263,27,2020010100
31,2020-01-01 00:50:45.700,2020-01-01 00:53:29.600,163.9,5669,238,244,28,2020010100
32,2020-01-01 00:49:27.000,2020-01-01 00:53:10.500,223.5,6267,28,50,29,2020010100
33,2020-01-01 00:45:39.200,2020-01-01 00:52:24.800,405.6,5130,109,73,30,2020010100
34,2020-01-01 00:40:32.300,2020-01-01 00:51:10.600,638.3,6435,98,373,31,2020010100
35,2020-01-01 00:42:43.400,2020-01-01 00:50:34.400,471.0,5559,133,133,10,2020010100
36,2020-01-01 00:45:10.600,2020-01-01 00:50:28.900,318.3,99,113,115,32,2020010100
37,2020-01-01 00:47:03.000,2020-01-01 00:49:31.100,148.1,4864,220,180,20,2020010100
38,2020-01-01 00:44:12.700,2020-01-01 00:49:17.700,305.0,6264,122,96,33,2020010100
39,2020-01-01 00:31:16.100,2020-01-01 00:49:02.800,1066.7,5938,58,145,34,2020010100
40,2020-01-01 00:35:45.400,2020-01-01 00:48:03.200,737.8,6456,87,122,35,2020010100
41,2020-01-01 00:42:13.900,2020-01-01 00:47:42.500,328.6,5154,7,195,36,2020010100
42,2020-01-01 00:40:56.100,2020-01-01 00:46:42.500,346.4,6488,10,19,10,2020010100
43,2020-01-01 00:20:24.100,2020-01-01 00:46:19.000,1554.9,5411,15,284,37,2020010100
44,2020-01-01 00:44:01.000,2020-01-01 00:45:57.500,116.5,823,104,93,6,2020010100
45,2020-01-01 00:32:59.500,2020-01-01 00:45:27.000,747.5,6521,27,34,27,2020010100
46,2020-01-01 00:33:21.100,2020-01-01 00:45:18.500,717.4,6581,9,58,38,2020010100
47,2020-01-01 00:41:35.900,2020-01-01 00:44:12.900,157.0,4571,140,132,16,2020010100
48,2020-01-01 00:36:35.600,2020-01-01 00:43:33.000,417.4,1501,310,294,12,2020010100
49,2020-01-01 00:38:32.500,2020-01-01 00:43:20.500,288.0,4958,53,377,8,2020010100
50,2020-01-01 00:37:29.800,2020-01-01 00:40:52.900,203.1,6355,106,109,39,2020010100
51,2020-01-01 00:15:30.500,2020-01-01 00:39:32.500,1442.0,3159,340,216,40,2020010100
52,2020-01-01 00:30:37.900,2020-01-01 00:39:30.200,532.3,6361,28,349,1,2020010100
53,2020-01-01 00:27:21.200,2020-01-01 00:39:18.900,717.7,4449,121,70,10,2020010100
54,2020-01-01 00:41:16.400,2020-01-02 00:38:14.400,86218.0,319,11,11,2,2020010100
55,2020-01-01 00:30:52.500,2020-01-01 00:37:34.000,401.5,5407,58,62,41,2020010100
56,2020-01-01 00:39:35.000,2020-01-02 00:37:33.300,86278.3,1846,11,11,27,2020010100
57,2020-01-01 00:44:53.500,2020-01-02 00:37:14.100,85940.6,3040,11,11,7,2020010100
58,2020-01-01 00:31:35.800,2020-01-01 00:36:59.900,324.1,6592,121,138,15,2020010100
59,2020-01-01 00:34:59.000,2020-01-01 00:36:59.400,120.4,5518,140,138,16,2020010100
60,2020-01-01 00:28:50.500,2020-01-01 00:35:52.600,422.1,5649,240,240,42,2020010100
61,2020-01-01 00:28:53.500,2020-01-01 00:35:34.900,401.4,4531,240,240,23,2020010100
62,2020-01-01 00:18:17.900,2020-01-01 00:33:25.100,907.2,6070,61,118,18,2020010100
63,2020-01-01 00:27:40.800,2020-01-01 00:33:06.000,325.2,6329,36,10,43,2020010100
64,2020-01-01 00:28:42.700,2020-01-01 00:32:41.800,239.1,5731,21,343,24,2020010100
65,2020-01-01 00:18:53.100,2020-01-01 00:32:41.100,828.0,6265,34,53,1,2020010100
66,2020-01-01 00:17:05.900,2020-01-01 00:32:32.700,926.8,2951,13,81,14,2020010100
67,2020-01-01 00:23:32.000,2020-01-01 00:31:09.400,457.4,6132,345,81,44,2020010100
68,2020-01-01 00:19:37.400,2020-01-01 00:30:58.900,681.5,6333,43,70,6,2020010100
69,2020-01-01 00:27:55.600,2020-01-01 00:30:02.400,126.8,6085,140,138,16,2020010100
70,2020-01-01 00:25:18.900,2020-01-01 00:29:54.200,275.3,5525,74,43,26,2020010100
71,2020-01-01 00:25:59.700,2020-01-01 00:29:36.900,217.2,2647,239,266,42,2020010100
72,2020-01-01 00:24:07.700,2020-01-01 00:29:11.600,303.9,5883,182,197,15,2020010100
73,2020-01-01 00:26:28.300,2020-01-01 00:28:21.600,113.3,5414,163,163,17,2020010100
74,2020-01-01 00:14:40.400,2020-01-01 00:28:18.900,818.5,5284,119,62,45,2020010100
75,2020-01-01 00:21:37.900,2020-01-01 00:27:49.000,371.1,6404,369,369,18,2020010100
76,2020-01-01 00:37:41.500,2020-01-02 00:27:43.400,85801.9,5471,159,159,46,2020010100
77,2020-01-01 00:38:07.500,2020-01-02 00:27:40.800,85773.3,5702,159,159,47,2020010100
78,2020-01-01 00:24:23.400,2020-01-01 00:27:10.500,167.1,5689,254,244,10,2020010100
79,2020-01-01 00:18:55.700,2020-01-01 00:24:51.600,355.9,6102,30,62,20,2020010100
80,2020-01-01 00:00:50.500,2020-01-01 00:24:38.200,1427.7,6597,53,369,48,2020010100
81,2020-01-01 00:16:14.400,2020-01-01 00:20:41.400,267.0,5091,321,60,10,2020010100
82,2020-01-01 00:15:21.100,2020-01-01 00:20:15.800,294.7,5938,356,58,34,2020010100
83,2020-01-01 00:17:18.000,2020-01-01 00:19:35.800,137.8,6520,30,64,18,2020010100
84,2020-01-01 00:59:11.300,2020-01-02 00:19:29.700,84018.4,5914,324,386,38,2020010100
85,2020-01-01 00:01:18.400,2020-01-01 00:19:25.900,1087.5,5332,71,145,49,2020010100
86,2020-01-01 00:17:06.500,2020-01-01 00:18:19.700,73.2,5012,67,80,27,2020010100
87,2020-01-01 00:15:09.900,2020-01-01 00:18:05.800,175.9,5048,140,132,16,2020010100
88,2020-01-01 00:42:05.200,2020-01-02 00:17:57.000,84951.8,5411,78,15,37,2020010100
89,2020-01-01 00:10:51.200,2020-01-01 00:17:36.600,405.4,513,250,259,50,2020010100
90,2020-01-01 00:46:44.100,2020-01-02 00:16:48.100,84604.0,6581,67,9,22,2020010100
91,2020-01-01 00:13:31.200,2020-01-01 00:15:56.500,145.3,3272,245,252,51,2020010100
92,2020-01-01 00:41:16.900,2020-01-02 00:14:58.200,84821.3,5244,252,244,23,2020010100
93,2020-01-01 00:42:29.800,2020-01-02 00:14:50.400,84740.6,4424,377,50,52,2020010100
94,2020-01-01 00:09:26.700,2020-01-01 00:14:30.600,303.9,6194,71,86,8,2020010100
95,2020-01-01 00:07:34.600,2020-01-01 00:14:21.800,407.2,5785,254,266,28,2020010100
96,2020-01-01 00:00:41.300,2020-01-01 00:14:17.200,815.9,5454,53,133,48,2020010100
97,2020-01-01 00:09:20.200,2020-01-01 00:13:10.100,229.9,4014,317,296,28,2020010100
98,2020-01-01 00:04:52.200,2020-01-01 00:13:09.700,497.5,5879,219,219,34,2020010100
99,2020-01-01 00:03:47.300,2020-01-01 00:12:56.400,549.1,828,274,258,53,2020010100
100,2020-01-01 00:08:25.200,2020-01-01 00:12:46.400,261.2,5844,98,134,8,2020010100
101,2020-01-01 00:58:55.600,2020-01-02 00:12:21.400,83605.8,6124,77,141,16,2020010100
102,2020-01-01 00:10:05.100,2020-01-01 00:12:09.900,124.8,4714,140,132,16,2020010100
103,2020-01-01 00:02:09.700,2020-01-01 00:10:41.300,511.6,4972,129,141,54,2020010100
104,2020-01-01 00:02:55.600,2020-01-01 00:09:52.800,417.2,1701,310,305,27,2020010100
105,2020-01-01 00:59:33.800,2020-01-02 00:09:13.100,83379.3,4639,113,144,44,2020010100
106,2020-01-01 00:04:23.300,2020-01-01 00:08:42.400,259.1,5894,253,267,55,2020010100
107,2020-01-01 00:02:54.200,2020-01-01 00:08:35.400,341.2,5576,386,137,56,2020010100
108,2020-01-01 00:58:18.300,2020-01-02 00:07:33.600,83355.3,6476,95,77,22,2020010100
109,2020-01-01 00:57:55.200,2020-01-02 00:07:30.900,83375.7,5436,95,77,54,2020010100
